시설년도,위치코드,시설구분1,시설구분2,쉼터명칭,도로명주소,지번주소,시설면적,이용가능인원,비고,경도,위도,선풍기보유대수,에어컨보유대수,야간운영여부,휴일운영여부,숙박가능여부,관리부서명,관리부서전화번호
2025,1111054000,공공시설,공공청사,삼청동주민센터,서울특별시 종로구 삼청로 107,서울특별시 종로구 삼청동 105-1,200,50,폭염특보 시 추가운영,126.9817601,37.5849943,5,3,,Y,,,02-2148-2208
2025,1111055000,특정계층이용시설,회원이용시설,부암경로당,서울특별시 종로구 자하문로 260,서울특별시 종로구 부암동 141-1,180,45,,126.9634272,37.5973744,3,2,,,,,02-2148-2208
2025,1111055000,특정계층이용시설,회원이용시설,신영경로당,서울특별시 종로구 세검정로6길 76-19 ,서울특별시 종로구 신영동 87-1,143.24,30,,126.9636445,37.601291,4,2,,,,,02-2148-2208
2025,1111055000,공공시설,공공청사,부암동주민센터,서울특별시 종로구 창의문로 145,서울특별시 종로구 부암동 265-21,400,50,폭염특보 시 추가운영,126.9640763,37.5924354,5,3,,Y,,,02-2148-2208
2025,1111056000,특정계층이용시설,회원이용시설,구기할아버지경로당,서울특별시 종로구 진흥로 438-6 ,서울특별시 종로구 구기동 110-4,70,30,,126.9564991,37.607804,3,2,,,,,02-2148-2208
2025,1111056000,공공시설,공공청사,평창동주민센터,서울특별시 종로구 평창문화로 65,서울특별시 종로구 평창동 186-9,200,50,폭염특보 시 추가운영,126.9683786,37.6063867,0,1,,Y,,,02-2148-2208
2025,1111056000,특정계층이용시설,회원이용시설,구기할머니경로당,서울특별시 종로구 진흥로 438-8 ,서울특별시 종로구 구기동 110-30,70,30,,126.9563703,37.607872,2,1,,,,,02-2148-2208
2025,1111057000,공공시설,공공청사,무악동주민센터,서울특별시 종로구 통일로14길 36,서울특별시 종로구 무악동 60-2,400,40,폭염특보 시 추가운영,126.9582278,37.5760029,0,15,,,,,02-2148-2208
2025,1111057000,특정계층이용시설,회원이용시설,무악경로당,서울특별시 종로구 통일로14길 19,서울특별시 종로구 무악동 69-3,104.05,30,,126.9577785,37.5754289,3,2,,,,,02-2148-2208
2025,1111057000,특정계층이용시설,회원이용시설,무악제2경로당,서울특별시 종로구 통일로 246-11 ,서울특별시 종로구 무악동 83,242,50,,126.9583283,37.575735,5,4,,,,,02-2148-2208
2025,1111057000,특정계층이용시설,회원이용시설,종로노인종합복지관무악센터,서울특별시 종로구 통일로14길 30,서울특별시 종로구 무악동 60-2,800,200,,126.9580458,37.5758297,0,15,,,,,02-2148-2208
2025,1111058000,공공시설,공공청사,교남동주민센터,서울특별시 종로구 송월길 154,서울특별시 종로구 행촌동 211-2,400,40,폭염특보 시 추가운영,126.961963,37.571916,10,1,,Y,,,02-2148-2208
2025,1111058000,특정계층이용시설,회원이용시설,교남경로당,서울특별시 종로구 사직로2길 8,서울특별시 종로구 행촌동 1-39,200,50,,126.9645796,37.572533,5,2,N,N,N,,02-2148-2208
2025,1111058000,특정계층이용시설,회원이용시설,행촌경로당,서울특별시 종로구 인왕산로1길 58,서울특별시 종로구 행촌동 210-33,200,50,,126.9630088,37.5753864,5,2,,,,,02-2148-2208
2025,1111060000,특정계층이용시설,회원이용시설,가회경로당,서울특별시 종로구 북촌로 35,서울특별시 종로구 가회동 156,66,34,,126.9847736,37.5801246,4,1,,Y,,,02-2148-2208
2025,1111060000,특정계층이용시설,회원이용시설,계원경로당,서울특별시 종로구 창덕궁3가길 8,서울특별시 종로구 원서동 135-64,107.9,30,,126.9885166,37.5811279,2,1,,,,,02-2148-2208
2025,1111060000,공공시설,공공청사,가회동주민센터,서울특별시 종로구 북촌로 35,서울특별시 종로구 가회동 156,60,50,폭염특보 시 추가운영,126.9848044,37.5800566,4,1,,Y,,,02-2148-2208
2025,1111060000,특정계층이용시설,회원이용시설,북촌경로당,서울특별시 종로구 북촌로 20-27 ,서울특별시 종로구 재동 54-1,103.1,30,,126.9858728,37.5789115,5,1,N,N,N,,02-2148-2208
2025,1111061500,공공시설,공공청사,구청사,서울특별시 종로구 종로1길 36,서울특별시 종로구 수송동 146-12,82.6,10,폭염특보 시 추가운영,126.9789867,37.573505,0,9,,Y,,,02-2148-2208
2025,1111061500,특정계층이용시설,회원이용시설,서울노인복지센터,서울특별시 종로구 삼일대로 467,서울특별시 종로구 경운동 90-3,"8,000.00",200,,126.9859578,37.5759561,24,79,,,,,02-2148-2208
2025,1111061500,특정계층이용시설,회원이용시설,운니경로당,서울특별시 종로구 삼일대로32길 51,서울특별시 종로구 운니동 60,200,50,,126.9898416,37.5756351,4,2,,,,,02-2148-2208
2025,1111061500,공공시설,공공청사,종로1234가동주민센터,서울특별시 종로구 삼일대로30길 47,서울특별시 종로구 익선동 99,400,40,폭염특보 시 추가운영,126.9902611,37.5744316,10,3,,Y,,,02-2148-2208
2025,1111061500,특정계층이용시설,회원이용시설,우정경로당,서울특별시 종로구 수표로22길 22,서울특별시 종로구 돈의동 162,300,30,,126.9906168,37.5712197,4,2,,,,,02-2148-2208
2025,1111063000,특정계층이용시설,회원이용시설,종로56가경로당,서울특별시 종로구 종로35가길 19,서울특별시 종로구 효제동 173-2,105.6,30,,127.0050402,37.5720368,0,1,,,,,02-2148-2208
2025,1111063000,특정계층이용시설,회원이용시설,충신경로당,서울특별시 종로구 율곡로22나길 21,서울특별시 종로구 충신동 189-2,80,20,,127.0046662,37.5739111,2,2,,,,,02-2148-2208
2025,1111063000,특정계층이용시설,회원이용시설,충신어르신행복충전소,서울특별시 종로구 낙산성곽서길 65-11 ,서울특별시 종로구 충신동 1-223,90,20,,127.0081528,37.5750553,0,1,,,,,02-2148-2208
2025,1111063000,공공시설,공공청사,종로56가동주민센터,서울특별시 종로구 종로35가길 19,서울특별시 종로구 효제동 173-2,80,50,폭염특보 시 추가운영,127.0050427,37.5720325,0,1,,,,,02-2148-2208
2025,1111064000,공공시설,공공청사,이화동주민센터,서울특별시 종로구 이화장길 33,서울특별시 종로구 이화동 149-1,400,50,폭염특보 시 추가운영,127.0043569,37.5769944,5,3,,Y,,,02-2148-2208
2025,1111064000,특정계층이용시설,회원이용시설,종로노인종합복지관,서울특별시 종로구 율곡로19길 17-8 ,서울특별시 종로구 이화동 25-1,"2,188.00",200,,127.0060502,37.5766725,28,30,,,,,02-2148-2208
2025,1111064000,특정계층이용시설,회원이용시설,마로니에경로당,서울특별시 종로구 낙산1길 21,서울특별시 종로구 동숭동 129-77,100.3,30,,127.0057153,37.5811836,4,3,N,N,N,,02-2148-2208
2025,1111064000,특정계층이용시설,회원이용시설,이화경로당,서울특별시 종로구 이화장1나길 15,서울특별시 종로구 이화동 9-264,174.9,30,,127.0067503,37.5777353,4,2,,,,,02-2148-2208
2025,1111064000,특정계층이용시설,회원이용시설,동숭경로당,서울특별시 종로구 동숭4나길 29,서울특별시 종로구 동숭동 6-31,55.4,17,,127.0058222,37.5832493,3,2,,,,,02-2148-2208
2025,1111065000,특정계층이용시설,회원이용시설,명륜3가경로당,서울특별시 종로구 성균관로 50,서울특별시 종로구 명륜1가 70-1,33.8,8,,126.9967148,37.5871177,3,1,,,,,02-2148-2208
2025,1111065000,특정계층이용시설,회원이용시설,혜명경로당,서울특별시 종로구 혜화로9길 24-9 ,서울특별시 종로구 명륜1가 23-9,99,24,,126.9982946,37.5880529,4,4,,,,,02-2148-2208
2025,1111065000,특정계층이용시설,회원이용시설,유림경로당,서울특별시 종로구 성균관로5길 25-13 ,서울특별시 종로구 명륜3가 53-2,178.32,44,,126.996928,37.5844736,2,2,,,,,02-2148-2208
2025,1111065000,특정계층이용시설,회원이용시설,명륜2.4가경로당,서울특별시 종로구 창경궁로26길 7,서울특별시 종로구 명륜4가 206-8,135.48,33,,126.9981471,37.5818846,5,2,,,,,02-2148-2208
2025,1111065000,공공시설,공공청사,혜화동주민센터,서울특별시 종로구 혜화로 12,서울특별시 종로구 혜화동 74-30,400,30,폭염특보 시 추가운영,127.000608,37.5869073,9,1,,Y,,,02-2148-2208
2025,1111067000,공공시설,공공청사,창신1동주민센터,서울특별시 종로구 지봉로 8-6 ,서울특별시 종로구 창신동 401-3,400,30,폭염특보 시 추가운영,127.016374,37.5707222,5,2,,Y,,,02-2148-2208
2025,1111067000,특정계층이용시설,회원이용시설,당고개경로당,서울특별시 종로구 종로53길 29,서울특별시 종로구 창신동 197-17,100,20,,127.0132278,37.5736793,4,1,,Y,,,02-2148-2208
2025,1111067000,특정계층이용시설,회원이용시설,창일경로당,서울특별시 종로구 종로54길 9-23 ,서울특별시 종로구 창신동 328-30,120,30,,127.0148157,37.572238,6,2,,,,,02-2148-2208
2025,1111068000,특정계층이용시설,회원이용시설,창이경로당,서울특별시 종로구 창신길 98,서울특별시 종로구 창신동 594-8,180,45,,127.0105375,37.5759816,4,2,,,,,02-2148-2208
2025,1111068000,특정계층이용시설,회원이용시설,창락경로당,서울특별시 종로구 창신길 191-6 ,서울특별시 종로구 창신동 615-52,130,30,,127.00947,37.5799227,2,2,,,,,02-2148-2208
2025,1111068000,공공시설,공공청사,창신2동주민센터,서울특별시 종로구 창신길 62,서울특별시 종로구 창신동 583-3,120,30,폭염특보 시 추가운영,127.0108835,37.5744319,3,3,,Y,,,02-2148-2208
2025,1111069000,특정계층이용시설,회원이용시설,창삼경로당,서울특별시 종로구 지봉로13길 82,서울특별시 종로구 창신동 23-344,97,41,,127.0124754,37.5772613,18,25,,,,,02-2148-2208
2025,1111069000,공공시설,복지?문화?체육시설,종로종합사회복지관,서울특별시 종로구 지봉로13길 82,서울특별시 종로구 창신동 23-344,"1,421.20",100,,127.0124982,37.5772932,18,25,,,,,02-2148-2208
2025,1111069000,공공시설,공공청사,창신3동주민센터,서울특별시 종로구 지봉로 87,서울특별시 종로구 창신동 23-816,400,50,폭염특보 시 추가운영,127.0146842,37.577933,5,4,,Y,,,02-2148-2208
2025,1111069000,특정계층이용시설,회원이용시설,온고회경로당,서울특별시 종로구 지봉로13길 14,서울특별시 종로구 창신동 산 6-25,280,50,,127.014694,37.578978,6,4,N,N,N,,02-2148-2208
2025,1111070000,특정계층이용시설,회원이용시설,숭인상록경로당,서울특별시 종로구 지봉로 86,서울특별시 종로구 숭인동 55-2,244,31,,127.0155814,37.5778544,4,3,,Y,,,02-2148-2208
2025,1111070000,공공시설,공공청사,숭인1동주민센터,서울특별시 종로구 지봉로 86,서울특별시 종로구 숭인동 55-2,120,30,폭염특보 시 추가운영,127.0156364,37.5778352,4,3,,Y,,,02-2148-2208
2025,1111071000,특정계층이용시설,회원이용시설,흥인경로당,서울특별시 종로구 숭인동길 78-8 ,서울특별시 종로구 숭인동 382,43.9,15,,127.0222011,37.578254,1,1,,Y,,,02-2148-2208
2025,1111071000,공공시설,공공청사,숭인2동주민센터,서울특별시 종로구 종로65길 10,서울특별시 종로구 숭인동 178-167,256.56,43,폭염특보 시 추가운영,127.0199896,37.5748698,4,4,,Y,,,02-2148-2208
2025,1111071000,특정계층이용시설,회원이용시설,숭인2경로당,서울특별시 종로구 종로66가길 35,서울특별시 종로구 숭인동 211-16,258.1,35,,127.0200647,37.5731117,2,1,,Y,,,02-2148-2208
2025,1111071000,특정계층이용시설,회원이용시설,동원경로당,서울특별시 종로구 숭인동2길 28,서울특별시 종로구 숭인동 546,140,35,,127.0202659,37.5783284,4,1,,,,,02-2148-2208
2025,1111071000,특정계층이용시설,회원이용시설,한마음경로당,서울특별시 종로구 숭인동길 78-8 ,서울특별시 종로구 숭인동 382,81,35,,127.0222105,37.5782625,1,1,,Y,,,02-2148-2208
2025,1114052000,공공시설,공공청사,소공동주민센터,서울특별시 중구 남대문로1길 31-5 ,서울특별시 중구 북창동 20-5,136.43,41,특보 시 주말 공휴일 9시~18시 운영,126.977013,37.5624004,6,3,N,N,N,,02-3396-4474
2025,1114054000,공공시설,복지?문화?체육시설,회현체육센터,서울특별시 중구 퇴계로12길 78,서울특별시 중구 회현동1가 115,80,10,,126.9816295,37.5561479,0,2,N,N,N,,02-3396-4474
2025,1114054000,특정계층이용시설,회원이용시설,회현경로당,서울특별시 중구 퇴계로12길 89,서울특별시 중구 회현동1가 147-19,286,40,,126.9819701,37.5558275,4,4,N,N,N,,02-3396-4474
2025,1114054000,공공시설,공공청사,회현동주민센터,서울특별시 중구 퇴계로8길 46,서울특별시 중구 회현동1가 164,885.18,200,특보 시 주말 공휴일 9시~18시 운영,126.9794086,37.5572999,10,4,N,N,N,,02-3396-4474
2025,1114055000,특정계층이용시설,회원이용시설,명동경로당,서울특별시 중구 퇴계로20길 25-26 ,서울특별시 중구 남산동2가 18-5,655.1,80,,126.9863726,37.558995,6,3,N,N,N,,02-3396-4474
2025,1114057000,특정계층이용시설,회원이용시설,필동경로당,서울특별시 중구 필동로 11,서울특별시 중구 필동2가 19-22,201,50,,126.9962394,37.5605451,5,2,N,N,N,,02-3396-4474
2025,1114057000,공공시설,공공청사,필동주민센터,서울특별시 중구 퇴계로36길 42,서울특별시 중구 필동2가 78-2,943.68,30,특보 시 주말 공휴일 9시~18시 운영,126.9955807,37.5601546,0,4,N,N,N,,02-3396-4474
2025,1114058000,특정계층이용시설,회원이용시설,공원장충경로당,서울특별시 중구 동호로 257-8 ,서울특별시 중구 장충동2가 197,425.76,50,,127.003887,37.558511,5,4,N,N,N,,02-3396-4474
2025,1114058000,공공시설,공공청사,장충동주민센터,서울특별시 중구 장충단로8길 22,서울특별시 중구 장충동1가 37-14,60,18,특보 시 주말 공휴일 9시~18시 운영,127.0078704,37.5619114,0,3,N,N,N,,02-3396-4474
2025,1114059000,공공시설,복지?문화?체육시설,중구구민회관,서울특별시 중구 을지로39길 40,서울특별시 중구 을지로6가 18-14,105,11,,127.0061091,37.5686023,0,2,N,N,N,,02-3396-4474
2025,1114059000,공공시설,공공청사,중구청,서울특별시 중구 창경궁로 17,서울특별시 중구 예관동 120-1,50,15,폭염특보 시 21시까지 운영,126.9980697,37.5637821,0,2,N,N,N,,02-3396-4474
2025,1114059000,특정계층이용시설,회원이용시설,묵정경로당,서울특별시 중구 퇴계로45길 32-12 ,서울특별시 중구 충무로5가 21,195.17,50,,126.999734,37.56388,3,1,N,N,N,,02-3396-4474
2025,1114059000,공공시설,공공청사,광희동주민센터,서울특별시 중구 퇴계로 303-9 ,서울특별시 중구 광희동1가 252,225.06,30,특보 시 주말 공휴일 9시~18시 운영,127.004986,37.5644512,4,1,N,N,N,,02-3396-4474
2025,1114059000,특정계층이용시설,회원이용시설,광희경로당,서울특별시 중구 퇴계로 303-9 ,서울특별시 중구 광희동1가 252,254.12,30,,127.0050323,37.5644485,4,1,N,N,N,,02-3396-4474
2025,1114061500,공공시설,복지?문화?체육시설,충무아트센터,서울특별시 중구 퇴계로 387,서울특별시 중구 흥인동 131,,,,127.0147874,37.5658373,0,1,N,N,N,,02-3396-4474
2025,1114061500,공공시설,복지?문화?체육시설,신당누리도서관,서울특별시 중구 다산로33길 3,서울특별시 중구 신당동 300-6,468,117,"일요일, 공휴일 휴관",127.0145763,37.5620989,2,6,N,N,N,,02-3396-4474
2025,1114061500,공공시설,복지?문화?체육시설,충무스포츠센터,서울특별시 중구 퇴계로 387,서울특별시 중구 흥인동 131,130,27,,127.0147874,37.5658373,0,1,N,N,N,,02-3396-4474
2025,1114061500,공공시설,공공청사,신당동주민센터,서울특별시 중구 다산로33길 3,서울특별시 중구 신당동 300-6,550,50,특보 시 주말 공휴일 9시~18시 운영,127.0145515,37.562105,2,6,N,N,N,,02-3396-4474
2025,1114061500,특정계층이용시설,회원이용시설,신당경로당,서울특별시 중구 다산로29길 10,서울특별시 중구 신당동 304-738,662.9,37,,127.0134947,37.5610295,3,6,N,N,N,,02-3396-4474
2025,1114061500,특정계층이용시설,회원이용시설,신일경로당,서울특별시 중구 청구로 121,서울특별시 중구 신당동 393-9,577.7,50,,127.0101967,37.5626078,4,4,N,N,N,,02-3396-4474
2025,1114062500,공공시설,복지?문화?체육시설,다산성곽도서관,서울특별시 중구 동호로17길 173,서울특별시 중구 신당동 432-612,975,243,"월요일, 공휴일 휴관",127.0043243,37.5517319,0,10,N,N,N,,02-3396-4474
2025,1114062500,공공시설,복지?문화?체육시설,가온도서관,서울특별시 중구 동호로14길 18,서울특별시 중구 신당동 425-11,966,241,"월요일, 공휴일 휴관",127.0108465,37.5563698,0,6,N,N,N,,02-3396-4474
2025,1114062500,특정계층이용시설,회원이용시설,장수경로당,서울특별시 중구 동호로11다길 18,서울특별시 중구 신당동 353-47,444,30,,127.007057,37.5519585,4,2,N,N,N,,02-3396-4474
2025,1114062500,공공시설,복지?문화?체육시설,신당종합사회복지관,서울특별시 중구 동호로11길 22,서울특별시 중구 신당동 361-18,97.26,50,,127.0095547,37.5544522,0,4,N,Y,N,,02-3396-4474
2025,1114062500,특정계층이용시설,회원이용시설,다산경로당,서울특별시 중구 동호로12길 97,서울특별시 중구 신당동 386-66,452,30,,127.0120608,37.5595449,5,2,N,N,N,,02-3396-4474
2025,1114062500,특정계층이용시설,회원이용시설,충현경로당,서울특별시 중구 동호로17나길 5-4 ,서울특별시 중구 신당동 828-5,284,30,,127.0056789,37.5544732,3,3,N,N,N,,02-3396-4474
2025,1114062500,공공시설,공공청사,다산동주민센터,서울특별시 중구 동호로15길 50,서울특별시 중구 신당동 432-24,85,30,특보 시 주말 공휴일 9시~18시 운영,127.0083084,37.5542653,1,2,N,N,N,,02-3396-4474
2025,1114063500,공공시설,복지?문화?체육시설,남산타운어린이도서관,서울특별시 중구 다산로 32,서울특별시 중구 신당동 844-1,274,68,"평  일 9:00~22:00(1,3,5주 월요일 휴관) 토요일 9:00~18:00 일요일 9:00~18:00 (2,4주 일요일, 공휴일 휴관)",127.0119,37.5496,0,5,N,N,N,,02-3396-4474
2025,1114063500,공공시설,복지?문화?체육시설,약수동커뮤니티센터(악수터),서울특별시 중구 다산로 94,서울특별시 중구 신당동 366-14,45,11,,127.0090792,37.5526038,0,3,N,N,N,,02-3396-4474
2025,1114063500,공공시설,공공청사,"중구시설관리공단,2층출입구휴게공간",서울특별시 중구 동호로8다길 22,서울특별시 중구 신당동 349-234,60,10,,127.0133663,37.5522,0,1,N,N,N,,02-3396-4474
2025,1114063500,특정계층이용시설,회원이용시설,약수노인종합복지관,서울특별시 중구 다산로6길 11,서울특별시 중구 신당동 366-18,76,20,,127.0092108,37.5524799,0,2,N,Y,N,,02-3396-4474
2025,1114063500,공공시설,공공청사,약수동주민센터,서울특별시 중구 다산로 92,서울특별시 중구 신당동 366-15,"1,317.00",200,특보 시 주말 공휴일 9시~18시 운영,127.0089583,37.5524756,6,26,N,N,N,,02-3396-4474
2025,1114063500,특정계층이용시설,회원이용시설,동호경로당,서울특별시 중구 동호로8길 42-22 ,서울특별시 중구 신당동 349-120,144,60,,127.013025,37.5524119,6,2,N,N,N,,02-3396-4474
2025,1114063500,특정계층이용시설,회원이용시설,약수경로당,서울특별시 중구 다산로10길 10-12 ,서울특별시 중구 신당동 368-80,177,70,,127.0101447,37.5531516,6,2,N,N,N,,02-3396-4474
2025,1114064500,특정계층이용시설,회원이용시설,삼성경로당,서울특별시 중구 청구로1길 23,서울특별시 중구 신당동 843,240,40,,127.0178868,37.5581449,4,3,N,N,N,,02-3396-4474
2025,1114064500,특정계층이용시설,회원이용시설,대양경로당,서울특별시 중구 동호로10길 30,서울특별시 중구 신당동 842,96.36,30,,127.0147545,37.5548532,4,3,N,N,N,,02-3396-4474
2025,1114064500,특정계층이용시설,회원이용시설,청송경로당,서울특별시 중구 청구로1길 23,서울특별시 중구 신당동 843-1,83.85,30,,127.0180876,37.5595366,3,1,N,N,N,,02-3396-4474
2025,1114064500,공공시설,공공청사,청구동주민센터,서울특별시 중구 청구로3길 55,서울특별시 중구 신당동 333-17,50,20,특보 시 주말 공휴일 9시~18시 운영,127.0146791,37.5571022,2,2,N,N,N,,02-3396-4474
2025,1114064500,특정계층이용시설,회원이용시설,청구경로당,서울특별시 중구 청구로3길 69,서울특별시 중구 신당동 333-36,130.64,50,,127.0143731,37.556536,2,2,N,N,N,,02-3396-4474
2025,1114065000,특정계층이용시설,회원이용시설,신당5동경로당,서울특별시 중구 다산로42길 53,서울특별시 중구 신당동 132-10,71.14,40,,127.0192147,37.5643603,4,2,N,N,N,,02-3396-4474
2025,1114065000,공공시설,공공청사,신당5동주민센터,서울특별시 중구 다산로44길 85,서울특별시 중구 신당동 150-7,251.3,30,특보 시 주말 공휴일 9시~18시 운영,127.0218667,37.5651172,4,4,N,N,N,,02-3396-4474
2025,1114065000,공공시설,복지?문화?체육시설,유락종합사회복지관,서울특별시 중구 퇴계로 460,서울특별시 중구 신당동 160-2,76,30,,127.022827,37.5651315,0,2,N,Y,N,,02-3396-4474
2025,1114065000,특정계층이용시설,회원이용시설,유락경로당,서울특별시 중구 퇴계로90길 42,서울특별시 중구 신당동 155-10,71.26,40,,127.0216395,37.5634445,2,2,N,N,N,,02-3396-4474
2025,1114066500,공공시설,복지?문화?체육시설,어울림도서관,서울특별시 중구 다산로38길 66-35 ,서울특별시 중구 신당동 52-164,299,74,"월요일, 공휴일 휴관",127.0189662,37.5617067,0,6,N,N,N,,02-3396-4474
2025,1114066500,특정계층이용시설,회원이용시설,동화경로당,서울특별시 중구 청구로 64,서울특별시 중구 신당동 852,105,30,,127.0166912,37.5604892,5,3,N,N,N,,02-3396-4474
2025,1114066500,특정계층이용시설,회원이용시설,청구e편한세상경로당,서울특별시 중구 청구로 64,서울특별시 중구 신당동 852,128,50,,127.0166611,37.5604011,5,3,N,N,N,,02-3396-4474
2025,1114066500,특정계층이용시설,회원이용시설,현대아파트경로당,서울특별시 중구 다산로36길 109,서울특별시 중구 신당동 840,102,40,,127.0213758,37.5599543,2,2,Y,N,N,,02-3396-4474
2025,1114066500,특정계층이용시설,회원이용시설,푸르지오경로당,서울특별시 중구 다산로36길 110,서울특별시 중구 신당동 850,119,50,,127.0195265,37.5592014,3,2,N,N,N,,02-3396-4474
2025,1114066500,공공시설,공공청사,동화동주민센터,서울특별시 중구 다산로36길 100,서울특별시 중구 신당동 850,100,50,,127.019399,37.5599648,3,2,N,N,N,,02-3396-4474
2025,1114066500,특정계층이용시설,회원이용시설,동화동구립경로당,서울특별시 중구 퇴계로80길 52,서울특별시 중구 신당동 50-12,138,70,,127.0172988,37.5632367,6,4,N,N,N,,02-3396-4474
2025,1114067000,특정계층이용시설,회원이용시설,SH황학롯데캐슬경로당,서울특별시 중구 청계천로 400,서울특별시 중구 황학동 2545,264.46,30,,127.0212143,37.5710252,9,7,N,N,N,,02-3396-4474
2025,1114067000,공공시설,공공청사,황학동주민센터,서울특별시 중구 난계로11길 52,서울특별시 중구 황학동 1010,330,30,특보 시 주말 공휴일 9시~18시 운영,127.0213668,37.5674378,2,6,N,N,N,,02-3396-4474
2025,1114067000,특정계층이용시설,회원이용시설,황중경로당,서울특별시 중구 난계로11길 37,서울특별시 중구 황학동 2525,257.04,35,,127.0217758,37.5666637,5,3,N,N,N,,02-3396-4474
2025,1114068000,공공시설,복지?문화?체육시설,손기정문화도서관,서울특별시 중구 손기정로 101,서울특별시 중구 만리동2가 6-1,,,"매주 월, 법정공휴일 휴무",126.964559,37.5559233,0,5,N,N,N,,02-3396-4474
2025,1114068000,공공시설,복지?문화?체육시설,손기정문화체육센터,서울특별시 중구 손기정로 101,서울특별시 중구 만리동2가 6-1,"1,271.00",73,,126.964559,37.5559233,0,5,N,N,N,,02-3396-4474
